Location,State,Year,Race,Population
Alabama,AL,2015,W,3129100
Alaska,AK,2015,W,437700
Arizona,AZ,2015,W,3696900
Arkansas,AR,2015,W,2119500
California,CA,2015,W,14533900
Colorado,CO,2015,W,3600200
Connecticut,CT,2015,W,2394300
Delaware,DE,2015,W,578400
District of Columbia,DC,2015,W,220500
Florida,FL,2015,W,10815800
Georgia,GA,2015,W,5334800
Hawaii,HI,2015,W,291900
Idaho,ID,2015,W,1325000
Illinois,IL,2015,W,7834100
Indiana,IN,2015,W,5138400
Iowa,IA,2015,W,2620800
Kansas,KS,2015,W,2164000
Kentucky,KY,2015,W,3660900
Louisiana,LA,2015,W,2686700
Maine,ME,2015,W,1213700
Maryland,MD,2015,W,3053700
Massachusetts,MA,2015,W,4811900
Michigan,MI,2015,W,7358500
Minnesota,MN,2015,W,4342500
Mississippi,MS,2015,W,1664000
Missouri,MO,2015,W,4705300
Montana,MT,2015,W,864300
Nebraska,NE,2015,W,1470000
Nevada,NV,2015,W,1435800
New Hampshire,NH,2015,W,1174900
New Jersey,NJ,2015,W,4969400
New Mexico,NM,2015,W,788200
New York,NY,2015,W,10836700
North Carolina,NC,2015,W,6178500
North Dakota,ND,2015,W,616200
Ohio,OH,2015,W,9045100
Oklahoma,OK,2015,W,2518200
Oregon,OR,2015,W,2996700
Pennsylvania,PA,2015,W,9659000
Rhode Island,RI,2015,W,751600
South Carolina,SC,2015,W,2995500
South Dakota,SD,2015,W,686400
Tennessee,TN,2015,W,4766200
Texas,TX,2015,W,11417900
Utah,UT,2015,W,2296400
Vermont,VT,2015,W,560600
Virginia,VA,2015,W,5052100
Washington,WA,2015,W,4844800
West Virginia,WV,2015,W,1665200
Wisconsin,WI,2015,W,4618400
Wyoming,WY,2015,W,479100
Alabama,AL,2019,W,3115600
Alaska,AK,2019,W,426100
Arizona,AZ,2019,W,3815100
Arkansas,AR,2019,W,2110400
California,CA,2019,W,14206900
Colorado,CO,2019,W,3774700
Connecticut,CT,2019,W,2298100
Delaware,DE,2019,W,582600
District of Columbia,DC,2019,W,244800
Florida,FL,2019,W,11101600
Georgia,GA,2019,W,5358000
Hawaii,HI,2019,W,278500
Idaho,ID,2019,W,1407600
Illinois,IL,2019,W,7588300
Indiana,IN,2019,W,5121300
Iowa,IA,2019,W,2614600
Kansas,KS,2019,W,2137700
Kentucky,KY,2019,W,3664300
Louisiana,LA,2019,W,2658300
Maine,ME,2019,W,1213400
Maryland,MD,2019,W,2953400
Massachusetts,MA,2019,W,4717100
Michigan,MI,2019,W,7327100
Minnesota,MN,2019,W,4370100
Mississippi,MS,2019,W,1633600
Missouri,MO,2019,W,4719400
Montana,MT,2019,W,890100
Nebraska,NE,2019,W,1470100
Nevada,NV,2019,W,1447500
New Hampshire,NH,2019,W,1181500
New Jersey,NJ,2019,W,4776900
New Mexico,NM,2019,W,754700
New York,NY,2019,W,10508500
North Carolina,NC,2019,W,6314100
North Dakota,ND,2019,W,613100
Ohio,OH,2019,W,8947700
Oklahoma,OK,2019,W,2492200
Oregon,OR,2019,W,3091900
Pennsylvania,PA,2019,W,9447800
Rhode Island,RI,2019,W,725400
South Carolina,SC,2019,W,3146900
South Dakota,SD,2019,W,692900
Tennessee,TN,2019,W,4860100
Texas,TX,2019,W,11607500
Utah,UT,2019,W,2421400
Vermont,VT,2019,W,557900
Virginia,VA,2019,W,5034100
Washington,WA,2019,W,5006200
West Virginia,WV,2019,W,1620000
Wisconsin,WI,2019,W,4598500
Wyoming,WY,2019,W,471600
Alabama,AL,2015,B,1241500
Alaska,AK,2015,B,21000
Arizona,AZ,2015,B,256900
Arkansas,AR,2015,B,441900
California,CA,2015,B,2044300
Colorado,CO,2015,B,194200
Connecticut,CT,2015,B,331100
Delaware,DE,2015,B,190300
District of Columbia,DC,2015,B,300300
Florida,FL,2015,B,2965100
Georgia,GA,2015,B,2992700
Hawaii,HI,2015,B,22600
Idaho,ID,2015,B,8000
Illinois,IL,2015,B,1736700
Indiana,IN,2015,B,579500
Iowa,IA,2015,B,100300
Kansas,KS,2015,B,151100
Kentucky,KY,2015,B,318400
Louisiana,LA,2015,B,1438500
Maine,ME,2015,B,15600
Maryland,MD,2015,B,1693500
Massachusetts,MA,2015,B,420500
Michigan,MI,2015,B,1312600
Minnesota,MN,2015,B,299100
Mississippi,MS,2015,B,1081800
Missouri,MO,2015,B,668300
Montana,MT,2015,B,4700
Nebraska,NE,2015,B,82900
Nevada,NV,2015,B,223000
New Hampshire,NH,2015,B,13900
New Jersey,NJ,2015,B,1096900
New Mexico,NM,2015,B,34300
New York,NY,2015,B,2744600
North Carolina,NC,2015,B,2047800
North Dakota,ND,2015,B,14300
Ohio,OH,2015,B,1347200
Oklahoma,OK,2015,B,263900
Oregon,OR,2015,B,64200
Pennsylvania,PA,2015,B,1286300
Rhode Island,RI,2015,B,54900
South Carolina,SC,2015,B,1266700
South Dakota,SD,2015,B,12500
Tennessee,TN,2015,B,1053600
Texas,TX,2015,B,3005800
Utah,UT,2015,B,29900
Vermont,VT,2015,B,5300
Virginia,VA,2015,B,1496200
Washington,WA,2015,B,226300
West Virginia,WV,2015,B,62000
Wisconsin,WI,2015,B,330700
Wyoming,WY,2015,B,6000
Alabama,AL,2019,B,1257300
Alaska,AK,2019,B,20700
Arizona,AZ,2019,B,297000
Arkansas,AR,2019,B,436900
California,CA,2019,B,2074900
Colorado,CO,2019,B,212200
Connecticut,CT,2019,B,343000
Delaware,DE,2019,B,199900
District of Columbia,DC,2019,B,299900
Florida,FL,2019,B,3141700
Georgia,GA,2019,B,3158000
Hawaii,HI,2019,B,20400
Idaho,ID,2019,B,9300
Illinois,IL,2019,B,1685200
Indiana,IN,2019,B,600600
Iowa,IA,2019,B,102300
Kansas,KS,2019,B,150700
Kentucky,KY,2019,B,328400
Louisiana,LA,2019,B,1429700
Maine,ME,2019,B,17400
Maryland,MD,2019,B,1720400
Massachusetts,MA,2019,B,465500
Michigan,MI,2019,B,1321900
Minnesota,MN,2019,B,356100
Mississippi,MS,2019,B,1084700
Missouri,MO,2019,B,670600
Montana,MT,2019,B,3700
Nebraska,NE,2019,B,82100
Nevada,NV,2019,B,258700
New Hampshire,NH,2019,B,14600
New Jersey,NJ,2019,B,1100300
New Mexico,NM,2019,B,37100
New York,NY,2019,B,2684400
North Carolina,NC,2019,B,2095600
North Dakota,ND,2019,B,22200
Ohio,OH,2019,B,1376200
Oklahoma,OK,2019,B,267700
Oregon,OR,2019,B,74300
Pennsylvania,PA,2019,B,1274800
Rhode Island,RI,2019,B,57000
South Carolina,SC,2019,B,1298200
South Dakota,SD,2019,B,18500
Tennessee,TN,2019,B,1087600
Texas,TX,2019,B,3251900
Utah,UT,2019,B,35800
Vermont,VT,2019,B,6600
Virginia,VA,2019,B,1519400
Washington,WA,2019,B,268700
West Virginia,WV,2019,B,63300
Wisconsin,WI,2019,B,349400
Wyoming,WY,2019,B,2700
Alabama,AL,2015,H,184300
Alaska,AK,2015,H,46600
Arizona,AZ,2015,H,1998500
Arkansas,AR,2015,H,201400
California,CA,2015,H,14716500
Colorado,CO,2015,H,1106200
Connecticut,CT,2015,H,525700
Delaware,DE,2015,H,80700
District of Columbia,DC,2015,H,65700
Florida,FL,2015,H,4716100
Georgia,GA,2015,H,896200
Hawaii,HI,2015,H,133800
Idaho,ID,2015,H,193400
Illinois,IL,2015,H,2117100
Indiana,IN,2015,H,412800
Iowa,IA,2015,H,166400
Kansas,KS,2015,H,319600
Kentucky,KY,2015,H,139000
Louisiana,LA,2015,H,212100
Maine,ME,2015,H,15700
Maryland,MD,2015,H,546000
Massachusetts,MA,2015,H,704400
Michigan,MI,2015,H,466100
Minnesota,MN,2015,H,269200
Mississippi,MS,2015,H,71700
Missouri,MO,2015,H,223300
Montana,MT,2015,H,32900
Nebraska,NE,2015,H,184300
Nevada,NV,2015,H,780500
New Hampshire,NH,2015,H,40600
New Jersey,NJ,2015,H,1701600
New Mexico,NM,2015,H,973700
New York,NY,2015,H,3585700
North Carolina,NC,2015,H,865900
North Dakota,ND,2015,H,16900
Ohio,OH,2015,H,381000
Oklahoma,OK,2015,H,367200
Oregon,OR,2015,H,485600
Pennsylvania,PA,2015,H,803900
Rhode Island,RI,2015,H,144300
South Carolina,SC,2015,H,246000
South Dakota,SD,2015,H,27100
Tennessee,TN,2015,H,313600
Texas,TX,2015,H,10204600
Utah,UT,2015,H,386600
Vermont,VT,2015,H,8700
Virginia,VA,2015,H,707400
Washington,WA,2015,H,837800
West Virginia,WV,2015,H,21100
Wisconsin,WI,2015,H,359100
Wyoming,WY,2015,H,55200
Alabama,AL,2019,H,204800
Alaska,AK,2019,H,50200
Arizona,AZ,2019,H,2213600
Arkansas,AR,2019,H,224900
California,CA,2019,H,15261300
Colorado,CO,2019,H,1200900
Connecticut,CT,2019,H,576400
Delaware,DE,2019,H,88900
District of Columbia,DC,2019,H,75600
Florida,FL,2019,H,5488400
Georgia,GA,2019,H,994300
Hawaii,HI,2019,H,142100
Idaho,ID,2019,H,217500
Illinois,IL,2019,H,2173800
Indiana,IN,2019,H,460900
Iowa,IA,2019,H,186400
Kansas,KS,2019,H,336500
Kentucky,KY,2019,H,155000
Louisiana,LA,2019,H,229400
Maine,ME,2019,H,19500
Maryland,MD,2019,H,613900
Massachusetts,MA,2019,H,824800
Michigan,MI,2019,H,502900
Minnesota,MN,2019,H,296100
Mississippi,MS,2019,H,81200
Missouri,MO,2019,H,240400
Montana,MT,2019,H,40500
Nebraska,NE,2019,H,206800
Nevada,NV,2019,H,866800
New Hampshire,NH,2019,H,49900
New Jersey,NJ,2019,H,1812100
New Mexico,NM,2019,H,1004800
New York,NY,2019,H,3665000
North Carolina,NC,2019,H,962600
North Dakota,ND,2019,H,25800
Ohio,OH,2019,H,434900
Oklahoma,OK,2019,H,414200
Oregon,OR,2019,H,545300
Pennsylvania,PA,2019,H,939900
Rhode Island,RI,2019,H,162700
South Carolina,SC,2019,H,284100
South Dakota,SD,2019,H,32100
Tennessee,TN,2019,H,361800
Texas,TX,2019,H,11163700
Utah,UT,2019,H,438200
Vermont,VT,2019,H,11000
Virginia,VA,2019,H,779900
Washington,WA,2019,H,949700
West Virginia,WV,2019,H,22500
Wisconsin,WI,2019,H,393600
Wyoming,WY,2019,H,56000
Alabama,AL,2015,A,54100
Alaska,AK,2015,A,42700
Arizona,AZ,2015,A,201900
Arkansas,AR,2015,A,35100
California,CA,2015,A,5264600
Colorado,CO,2015,A,149400
Connecticut,CT,2015,A,146300
Delaware,DE,2015,A,35300
District of Columbia,DC,2015,A,22500
Florida,FL,2015,A,505500
Georgia,GA,2015,A,359200
Hawaii,HI,2015,A,503900
Idaho,ID,2015,A,22600
Illinois,IL,2015,A,645300
Indiana,IN,2015,A,122200
Iowa,IA,2015,A,62900
Kansas,KS,2015,A,70000
Kentucky,KY,2015,A,52100
Louisiana,LA,2015,A,76400
Maine,ME,2015,A,13400
Maryland,MD,2015,A,359600
Massachusetts,MA,2015,A,392700
Michigan,MI,2015,A,270600
Minnesota,MN,2015,A,248600
Mississippi,MS,2015,A,21900
Missouri,MO,2015,A,102200
Montana,MT,2015,A,8100
Nebraska,NE,2015,A,34600
Nevada,NV,2015,A,216000
New Hampshire,NH,2015,A,31900
New Jersey,NJ,2015,A,807400
New Mexico,NM,2015,A,30500
New York,NY,2015,A,1561500
North Carolina,NC,2015,A,235200
North Dakota,ND,2015,A,7200
Ohio,OH,2015,A,211100
Oklahoma,OK,2015,A,73600
Oregon,OR,2015,A,154300
Pennsylvania,PA,2015,A,385900
Rhode Island,RI,2015,A,32200
South Carolina,SC,2015,A,63700
South Dakota,SD,2015,A,8400
Tennessee,TN,2015,A,99200
Texas,TX,2015,A,1135900
Utah,UT,2015,A,65900
Vermont,VT,2015,A,12000
Virginia,VA,2015,A,498800
Washington,WA,2015,A,539100
West Virginia,WV,2015,A,10700
Wisconsin,WI,2015,A,147000
Wyoming,WY,2015,A,5400
Alabama,AL,2019,A,63800
Alaska,AK,2019,A,43200
Arizona,AZ,2019,A,227200
Arkansas,AR,2019,A,44200
California,CA,2019,A,5669100
Colorado,CO,2019,A,176400
Connecticut,CT,2019,A,161300
Delaware,DE,2019,A,39100
District of Columbia,DC,2019,A,23700
Florida,FL,2019,A,571800
Georgia,GA,2019,A,421200
Hawaii,HI,2019,A,512800
Idaho,ID,2019,A,27300
Illinois,IL,2019,A,700500
Indiana,IN,2019,A,147400
Iowa,IA,2019,A,79400
Kansas,KS,2019,A,78800
Kentucky,KY,2019,A,63100
Louisiana,LA,2019,A,72900
Maine,ME,2019,A,17100
Maryland,MD,2019,A,374500
Massachusetts,MA,2019,A,444600
Michigan,MI,2019,A,315800
Minnesota,MN,2019,A,259600
Mississippi,MS,2019,A,25300
Missouri,MO,2019,A,119300
Montana,MT,2019,A,6800
Nebraska,NE,2019,A,42800
Nevada,NV,2019,A,241600
New Hampshire,NH,2019,A,37000
New Jersey,NJ,2019,A,842500
New Mexico,NM,2019,A,31200
New York,NY,2019,A,1618900
North Carolina,NC,2019,A,294300
North Dakota,ND,2019,A,14400
Ohio,OH,2019,A,260100
Oklahoma,OK,2019,A,78400
Oregon,OR,2019,A,188400
Pennsylvania,PA,2019,A,435300
Rhode Island,RI,2019,A,34700
South Carolina,SC,2019,A,76700
South Dakota,SD,2019,A,10900
Tennessee,TN,2019,A,113800
Texas,TX,2019,A,1389300
Utah,UT,2019,A,72800
Vermont,VT,2019,A,11700
Virginia,VA,2019,A,536700
Washington,WA,2019,A,648800
West Virginia,WV,2019,A,13100
Wisconsin,WI,2019,A,159500
Wyoming,WY,2019,A,6000
Alabama,AL,2015,O,83200
Alaska,AK,2015,O,51900
Arizona,AZ,2015,O,136800
Arkansas,AR,2015,O,57800
California,CA,2015,O,1169400
Colorado,CO,2015,O,132500
Connecticut,CT,2015,O,77500
Delaware,DE,2015,O,16800
District of Columbia,DC,2015,O,13000
Florida,FL,2015,O,378900
Georgia,GA,2015,O,189600
Hawaii,HI,2015,O,264200
Idaho,ID,2015,O,33200
Illinois,IL,2015,O,216500
Indiana,IN,2015,O,121200
Iowa,IA,2015,O,42300
Kansas,KS,2015,O,85400
Kentucky,KY,2015,O,89100
Louisiana,LA,2015,O,70600
Maine,ME,2015,O,29100
Maryland,MD,2015,O,156000
Massachusetts,MA,2015,O,168800
Michigan,MI,2015,O,225500
Minnesota,MN,2015,O,121500
Mississippi,MS,2015,O,36500
Missouri,MO,2015,O,144100
Montana,MT,2015,O,17300
Nebraska,NE,2015,O,39400
Nevada,NV,2015,O,97700
New Hampshire,NH,2015,O,23500
New Jersey,NJ,2015,O,168900
New Mexico,NM,2015,O,28500
New York,NY,2015,O,442000
North Carolina,NC,2015,O,199200
North Dakota,ND,2015,O,9400
Ohio,OH,2015,O,266300
Oklahoma,OK,2015,O,249600
Oregon,OR,2015,O,143800
Pennsylvania,PA,2015,O,217100
Rhode Island,RI,2015,O,26100
South Carolina,SC,2015,O,88000
South Dakota,SD,2015,O,21700
Tennessee,TN,2015,O,125400
Texas,TX,2015,O,444600
Utah,UT,2015,O,60800
Vermont,VT,2015,O,9800
Virginia,VA,2015,O,232800
Washington,WA,2015,O,320600
West Virginia,WV,2015,O,29000
Wisconsin,WI,2015,O,105300
Wyoming,WY,2015,O,10600
Alabama,AL,2019,O,90700
Alaska,AK,2019,O,51100
Arizona,AZ,2019,O,167400
Arkansas,AR,2019,O,79700
California,CA,2019,O,1286000
Colorado,CO,2019,O,158000
Connecticut,CT,2019,O,82500
Delaware,DE,2019,O,23700
District of Columbia,DC,2019,O,22500
Florida,FL,2019,O,491600
Georgia,GA,2019,O,252400
Hawaii,HI,2019,O,270100
Idaho,ID,2019,O,37100
Illinois,IL,2019,O,271800
Indiana,IN,2019,O,145400
Iowa,IA,2019,O,60400
Kansas,KS,2019,O,91000
Kentucky,KY,2019,O,100900
Louisiana,LA,2019,O,105500
Maine,ME,2019,O,26900
Maryland,MD,2019,O,197600
Massachusetts,MA,2019,O,195000
Michigan,MI,2019,O,252000
Minnesota,MN,2019,O,152900
Mississippi,MS,2019,O,41300
Missouri,MO,2019,O,155600
Montana,MT,2019,O,32000
Nebraska,NE,2019,O,54400
Nevada,NV,2019,O,121800
New Hampshire,NH,2019,O,24000
New Jersey,NJ,2019,O,185600
New Mexico,NM,2019,O,34500
New York,NY,2019,O,490000
North Carolina,NC,2019,O,267400
North Dakota,ND,2019,O,17400
Ohio,OH,2019,O,314800
Oklahoma,OK,2019,O,273600
Oregon,OR,2019,O,156900
Pennsylvania,PA,2019,O,275500
Rhode Island,RI,2019,O,31600
South Carolina,SC,2019,O,106000
South Dakota,SD,2019,O,21200
Tennessee,TN,2019,O,144200
Texas,TX,2019,O,523100
Utah,UT,2019,O,82000
Vermont,VT,2019,O,11300
Virginia,VA,2019,O,291400
Washington,WA,2019,O,368600
West Virginia,WV,2019,O,31300
Wisconsin,WI,2019,O,116200
Wyoming,WY,2019,O,11100
Alabama,AL,2015,N,20100
Alaska,AK,2015,N,106600
Arizona,AZ,2015,N,265200
Arkansas,AR,2015,N,24300
California,CA,2015,N,253000
Colorado,CO,2015,N,34500
Connecticut,CT,2015,N,4900
Delaware,DE,2015,N,3500
District of Columbia,DC,2015,N,1600
Florida,FL,2015,N,49700
Georgia,GA,2015,N,20400
Hawaii,HI,2015,N,130400
Idaho,ID,2015,N,14600
Illinois,IL,2015,N,19700
Indiana,IN,2015,N,11200
Iowa,IA,2015,N,7100
Kansas,KS,2015,N,20200
Kentucky,KY,2015,N,6200
Louisiana,LA,2015,N,22200
Maine,ME,2015,N,6200
Maryland,MD,2015,N,9600
Massachusetts,MA,2015,N,7800
Michigan,MI,2015,N,47400
Minnesota,MN,2015,N,49400
Mississippi,MS,2015,N,10300
Missouri,MO,2015,N,27100
Montana,MT,2015,N,66300
Nebraska,NE,2015,N,12100
Nevada,NV,2015,N,42100
New Hampshire,NH,2015,N,0
New Jersey,NJ,2015,N,10000
New Mexico,NM,2015,N,181300
New York,NY,2015,N,45900
North Carolina,NC,2015,N,106400
North Dakota,ND,2015,N,44400
Ohio,OH,2015,N,16200
Oklahoma,OK,2015,N,272900
Oregon,OR,2015,N,45000
Pennsylvania,PA,2015,N,13700
Rhode Island,RI,2015,N,4300
South Carolina,SC,2015,N,12600
South Dakota,SD,2015,N,64800
Tennessee,TN,2015,N,16800
Texas,TX,2015,N,71200
Utah,UT,2015,N,52200
Vermont,VT,2015,N,3400
Virginia,VA,2015,N,18700
Washington,WA,2015,N,119100
West Virginia,WV,2015,N,3400
Wisconsin,WI,2015,N,41500
Wyoming,WY,2015,N,10900
Alabama,AL,2019,N,19000
Alaska,AK,2019,N,117700
Arizona,AZ,2019,N,283900
Arkansas,AR,2019,N,25200
California,CA,2019,N,247500
Colorado,CO,2019,N,33000
Connecticut,CT,2019,N,4900
Delaware,DE,2019,N,3300
District of Columbia,DC,2019,N,0
Florida,FL,2019,N,48300
Georgia,GA,2019,N,29000
Hawaii,HI,2019,N,129500
Idaho,ID,2019,N,18100
Illinois,IL,2019,N,18600
Indiana,IN,2019,N,8500
Iowa,IA,2019,N,9000
Kansas,KS,2019,N,16000
Kentucky,KY,2019,N,5600
Louisiana,LA,2019,N,22700
Maine,ME,2019,N,5100
Maryland,MD,2019,N,8900
Massachusetts,MA,2019,N,11000
Michigan,MI,2019,N,48200
Minnesota,MN,2019,N,51700
Mississippi,MS,2019,N,12000
Missouri,MO,2019,N,29200
Montana,MT,2019,N,60400
Nebraska,NE,2019,N,12500
Nevada,NV,2019,N,47100
New Hampshire,NH,2019,N,0
New Jersey,NJ,2019,N,8900
New Mexico,NM,2019,N,181000
New York,NY,2019,N,46200
North Carolina,NC,2019,N,110400
North Dakota,ND,2019,N,37500
Ohio,OH,2019,N,19200
Oklahoma,OK,2019,N,289900
Oregon,OR,2019,N,54000
Pennsylvania,PA,2019,N,12100
Rhode Island,RI,2019,N,0
South Carolina,SC,2019,N,14900
South Dakota,SD,2019,N,73100
Tennessee,TN,2019,N,14700
Texas,TX,2019,N,88400
Utah,UT,2019,N,55700
Vermont,VT,2019,N,2100
Virginia,VA,2019,N,20600
Washington,WA,2019,N,126000
West Virginia,WV,2019,N,1600
Wisconsin,WI,2019,N,45700
Wyoming,WY,2019,N,12900